State,Population
AL,"5,024,279"
AK,"733,391"
AZ,"113,990"
AR,"53,179"
CA,"39,538,223"
CO,"104,094"
CT,"3,605,944"
DE,"989,948"
FL,"21,538,187"
GA,"59,425"
HI,"10,932"
ID,"83,569"
IL,"12,812,508"
IN,"36,420"
IA,"56,273"
KS,"2,937,880"
KY,"4,505,836"
LA,"4,657,757"
ME,"1,362,359"
MD,"6,177,224"
MA,"10,554"
MI,"10,077,331"
MN,"5,706,494"
MS,"48,432"
MO,"6,154,913"
MT,"1,084,225"
NE,"1,961,504"
NV,"3,104,614"
NH,"1,377,529"
NJ,"9,288,994"
NM,"2,117,522"
NY,"20,201,249"
NC,"10,439,388"
ND,"779,094"
OH,"44,826"
OK,"69,899"
OR,"4,237,256"
PA,"13,002,700"
RI,"1,545"
SC,"5,118,425"
SD,"886,667"
TN,"42,144"
TX,"29,145,505"
UT,"84,897"
VT,"643,077"
VA,"8,631,393"
WA,"7,705,281"
WV,"24,230"
WI,"5,893,718"
WY,"97,813"
